date,market,description,line,odds,edge_pct,score,outcome,policy_version
2026-06-05,prop_tb,"Nathaniel Lowe tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,145,10.256893046524779,2.1497870137371233,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Nathaniel Lowe tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,310,9.74443909335562,2.2794140250543986,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"JJ Bleday tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-200,9.704236550598832,2.334055484975833,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"JJ Bleday tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,240,9.673597699742187,2.183454523326294,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"JJ Bleday tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,350,6.410189313120809,1.8826354028738779,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Iván Herrera tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,110,8.146525943193755,1.9013722198290286,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jordan Walker tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-263,10.96953202111991,2.7424436594177695,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jordan Walker tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,105,15.499094457950562,2.651712127057692,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jordan Walker tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,210,15.919653976384234,2.643500177997204,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jordan Walker tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,310,12.666674110952828,2.5208468474173285,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jimmy Crooks tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-149,9.53697173978143,2.1743358312326735,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jimmy Crooks tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,175,10.057167583318455,2.150107216091664,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Jimmy Crooks tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,360,8.747937723237314,2.2401627933042567,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Lars Nootbaar tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-179,10.630473611778468,2.401439743018559,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Lars Nootbaar tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,145,12.19769008507679,2.33139256645177,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Lars Nootbaar tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,290,11.067899193468241,2.3733393591656466,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"JJ Bleday tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,125,10.859685415915537,2.2074539948071337,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Victor Scott II tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,225,6.8499062813196065,1.8036739736174507,L,2026-06-10-prop-calibration
2026-06-05,prop_rbi,"Nathaniel Lowe rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,165,7.110022599963734,1.7639664742161025,L,2026-06-10-prop-calibration
2026-06-05,prop_rbi,"JJ Bleday rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,165,8.225559018406997,1.9205739350568554,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Iván Herrera tb OVER 3.5 [1-sided, ~8% juice est.]",3.5,390,6.297151497072137,1.908822936034246,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Nathaniel Lowe tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-204,7.765761240928781,2.033300460543659,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Iván Herrera tb OVER 2.5 [1-sided, ~8% juice est.]",2.5,240,8.520649390584811,2.0579072750117433,L,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Victor Scott II tb OVER 0.5 [1-sided, ~8% juice est.]",0.5,-125,6.184039737610014,1.594465892232437,W,2026-06-10-prop-calibration
2026-06-05,prop_pitcher_k,Brady Singer pitcher_k UNDER 3.5,3.5,115,14.14020073629959,7.3057888293038555,L,2026-06-10-prop-calibration
2026-06-05,prop_rbi,"Luis García Jr. rbi OVER 0.5 [1-sided, ~8% juice est.]",0.5,190,8.621739006599332,1.9938571793172055,W,2026-06-10-prop-calibration
2026-06-05,prop_runs,"CJ Abrams runs OVER 0.5 [1-sided, ~8% juice est.]",0.5,-105,7.4129749140953995,2.723338205780065,W,2026-06-10-prop-calibration
2026-06-05,prop_pitcher_k,Merrill Kelly pitcher_k UNDER 4.5,4.5,-159,11.606734693286525,7.132081333565303,W,2026-06-10-prop-calibration
2026-06-05,prop_tb,"Luis García Jr. tb OVER 1.5 [1-sided, ~8% juice est.]",1.5,145,6.800590009159962,1.7094683211901025,W,2026-06-10-prop-calibration
